Code,Course-Name,Level,Type
BAC001.1,"Ciência, Tecnologia e Sociedade",GRADUAÇÃO,Theory
BAC001.2,"Ciência, Tecnologia e Sociedade (Prática)",GRADUAÇÃO,Lab
BAC003,DESENHO APLICADO,GRADUAÇÃO,Theory
BAC003.2,DESENHO APLICADO (PRÁTICA),GRADUAÇÃO,Lab
BAC004.1,INFORMÁTICA,GRADUAÇÃO,Theory
BAC004.2,INFORMÁTICA (PRÁTICA),GRADUAÇÃO,Lab
BAC005,MATEMÁTICA I,GRADUAÇÃO,Theory
BAC006.1,ELETRICIDADE,GRADUAÇÃO,Theory
BAC006.2,ELETRICIDADE (PRÁTICA),GRADUAÇÃO,Lab
BAC025.1,METODOLOGIA DA PESQUISA CIENTÍFICA,GRADUAÇÃO,Theory
BAC025.2,METODOLOGIA DA PESQUISA CIENTÍFICA (PRÁTICA),GRADUAÇÃO,Lab
BACI01.1,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",GRADUAÇÃO,Theory
BACI01.2,"CIÊNCIA, TECNOLOGIA E SOCIEDADE (PRÁTICA)",GRADUAÇÃO,Lab
CCF130.1,Algoritmos e Estrutura de Dados III,GRADUAÇÃO,Theory
CCF130.2,Algoritmos e Estrutura de Dados III (Prática),GRADUAÇÃO,Lab
CCF902,Tópicos Especiais em Programação II,GRADUAÇÃO,Theory
CCO003,LINGUAGENS DE PROGRAMAÇÃO,GRADUAÇÃO,Theory
CCO012,Fundamentos de Programação II,GRADUAÇÃO,Theory
CCO013,FUNDAMENTOS DE PROGRAMAÇÃO,GRADUAÇÃO,Theory
CCO017,Programação para Simulações,GRADUAÇÃO,Theory
CCO101,Processamento de Dados I,GRADUAÇÃO,Theory
CCO201,Processamento de Dados II,GRADUAÇÃO,Theory
CCO310,Classificação e Pesquisa,GRADUAÇÃO,Theory
CCO313,Computador e Sociedade,GRADUAÇÃO,Theory
CCT410.1,Redes de Computadores,GRADUAÇÃO,Theory
